;text
10;"....VIEUX NICE, Spacieux Studio A RÉNOVER 34 m², emplacement de qualité rue Saint....François, en étage, vue dégagée. Idéal pieds à terre / Investissement de qualité. - VIEUX NICE - Au coeur de la Vieille Ville, proche de la Place Saint François, rue Saint François, un spacieux studio 34 m² A RÉNOVER au 3ème étage bénéficiant d'une vue dégagé. Appartement lumineux avec un fort potentiel. Un Hall d'entrée; un espace Cuisine agréable et séparé; Une pièce de vie avec vue sur la vielle vielle; Une salle d'eau avec WC. Emplacement locatif de qualité, proche de la Place Massena, la coulée verte et les commerces de la vielle Ville. La rénovation des parties communes a été votée et réglée. Belle opportunité à ne pas laisser passer.. - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......"
11;....Antibes centre - excellente situation pour ce bel appartement en duplex de 4 pièces...., rénové, en dernier étage. Plages et vieille ville à proximité - De hauts plafonds et une triple exposition font de cet appartement lumineux et aéré un lieu de séjour idéal pour les vacances ou pour une résidence principale. L'appartement est situé dans un emplacement central de premier choix, à quelques minutes à pied de la vieille ville historique, des plages, des restaurants et des magasins. L'appartement a été entièrement rénové il y a quelques années, en conservant les caractéristiques d'origine telles que les belles tomettes rouges, les murs de briques apparentes et les poutres en bois. - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
12;....Cannes Oxford, superbe appartement de 2 pièces avec terrasse de 10 m² plein sud avec....vue sur parc au calme dans une prestigieuse résidence récente de standing avec piscine sur le toit. - Cannes quartier Oxford, un des quartiers les plus chics et des plus cotés de Cannes, appartement de 2 pièces d'environ 43m² avec terrasse de 10m² donnant sur jardins au calme plein sud. Séjour d'environ 23m² avec cuisine ouverte entièrement équipée, une jolie chambre avec rangements, salle de douches et toilette invités. A la fois idéal pour une résidence principale ou un investissement, l'emplacement de cette résidence est assez exceptionnel. Elle est entourée d'un parc paysager pourvu de végétaux différents et de jardins exotiques. L'architecture aux lignes élégantes et sobres, se fond idéalement dans son environnement. Situé à 10 minutes à pied du centre-ville et à moins de 20 minutes de la croisette. Possibilité d'acheter un garage en sus. Taxe foncière 800 € - Charges 130 €/mois - 104 lots de copropriété - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
13;....Cannes Basse Californie, appartement lumineux de 40 m² dans résidence au calme...., idéalement situé avec vue mer. Une belle opportunité pour un investissement ou un pied à terre. - CANNES, Très joli appartement de 40 m² quartier Basse Californie, proche du Palm Beach dans une résidence au calme avec piscine et cave au 3ème étage qui donne sur une très belle vue dégagée. Cet appartement traversant très bien agencé et très lumineux avec cuisine américaine équipée, une chambre avec placard de 12 m² et une salle d'eau fonctionnelle. Pas de terrasse ! Mais une très grande baie coulissante. Parking collectif (stationnement 2 véhicule) Charge et taxe foncière très faible. - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
14;"....NICE - Corniche des Oliviers. Magnifique VILLA en excellent état de 145 m², vue....dégagée au calme, jardin arboré. Vidéo disponible sur demande. - Sur les premières collines de Nice (Corniche des oliviers) superbe villa de 145 m² environ en parfait état, très bien agencée avec des matériaux de qualité. Cette villa dispose au niveau de son entrée principale, rez-de-jardin, d'un magnifique double séjour/salon avec cheminée, une belle cuisine entièrement aménagée et contemporaine avec des matériaux de qualité. Vue Panoramique, sans vis à vis. À l'étage, 2 belles chambres donc une bénéficiant d'un grand dressing et d'une salle d'eau. Une salle de bain spacieuses. Sur la partie inférieure de la Villa, un grand espace entièrement aménagé avec son accès par l'intérieur et un accès indépendant. Espace 3ème chambre, pouvant être considéré comme un studio. La Villa bénéficie d'une exposition principale Est avec une vue dégagée et un aperçu mer. Matériaux de qualité Haut de gamme: Grès Ceram au sol, chauffage et climatisation pompe à chaleur, double vitrage, électricité aux normes.. La maison ne nécessite aucun travaux. Un jardin bien arboré avec de belles terrasses. La maison est jumelée d'un coté sans aucun vis-à-vis. Présence d'un espace privé de stationnement pour 2 ou 3 voitures, abri/tonnelle à aménager; Situé dans un quartier résidentiel, quelques minutes du centre-ville de Nice, vous serez notamment charmés par l'état irréprochable de cette villa, ses abords, sa vue et son jardin. - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......"
15;....Cannes Croix des Gardes, très bel appartement de 2 pièces avec vue mer dans une....superbe résidence en position dominante avec piscine et tennis. - Cannes Croix des Gardes, dans domaine de standing avec gardien, bel appartement de 2 pièces de 40 m² avec terrasse vue mer. Composé d'un séjour avec cuisine ouverte, d'une chambre, d'une salle de douche avec toilette, également une place de parking et une cave completent ce bien. Ce bien est situé dans un mgnifique parc paysagé de 3 ha, avec une piscine de 8 X 20 m. Idéal pour une résidence principale ou un investissement. - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
16;Villefranche-sur-mer: 2 pièces duplex Situé dans le centre-ville de Villefranche sur mer, à proximité immédiate de tous commerces dans un immeuble refait à neuf. L'appartement est composé d'un grand séjour (28 m²) avec cuisine américaine et une salle d'eau, sur la mezzanine l'espace nuit avec un coin dressing. Le duplex est neuf, réalisé avec des matériaux de qualité et climatisé. Internet, ménage, parties communes: 45 euros/mois.
17;Villefranche-sur-mer: studio toit-terrasse neuf Situé dans le centre-ville de Villefranche sur mer, à proximité immédiate de tous commerces dans un immeuble refait à neuf. L'appartement est composé d'un séjour avec cuisine américaine, une salle d'eau et un coin nuit, accès au toit terrasse de 10 m² par des escaliers. Le studio est neuf, réalisé avec des matériaux de qualité et climatisé. Internet, ménage, entretiens des parties communes: 45 euros/mois.
18;À deux pas du Festival de Cannes, du Carré d'Or et à 200m de la plage de la Croisette. Appartement bourgeois de 1930 au 2ème étage avec ascenseur. 4 pièces d'un beau volume de 65 m², vous disposez de trois chambres avec balcons, séjour avec balcon, cuisine, salle de bain et WC séparé. Cet appartement dans le quartier de la (Banane) est idéalement situé et très prisé pour de la location. À VOIR ABSOLUMENT.
19;Maison 160 m² sur 2 niveaux Nextimmo vous propose à Menton haut du borrigo cette maison de 160 m² sur 2 niveaux construite sur un terrain de 900 m². Composée de 4 chambres, 2 séjours cuisines, 2 salles de bains et toilette séparé, un dressing, elle offre un confort de vie grâce aussi à ses 3 terrasses et grand jardin. Aujourd'hui constituée de 2 appartements de 80 m² Next Immo - Contacter Fabrice MONNIER ().
20;"Appartement 2 pièces CHAMBRUN, dans résidence récente bien entretenue, 2 pièces de 52m² composé d'une entre, un séjour avec terrasse exposé sud et est, une chambre avec petite terrasse, une cuisine indépendante équipée, une WC indépendant, une salle de bains et une cave. Calme et lumineux, à 2 pas de la faculté des Sciences, du tramway et des commerces. Tout collectif. Charges annuelles: 2934 euros; CI de 24 lots principaux."
21;À deux pas du Festival de Cannes, du Carré d'Or et à 200m de la plage de la Croisette. Appartement bourgeois de 1930 au 2ème étage avec ascenseur. 4 pièces d'un beau volume de 65m2, vous disposez de trois chambres avec balcons, séjour avec balcon, cuisine, salle de bain et WC séparé. Cet appartement dans le quartier de la (Banane) est idéalement situé et très prisé pour de la location. À VOIR ABSOLUMENT
22;À Antibes, à seulement 10 minutes à pied du centre ville dans un environnement calme et résidentiel. À vendre belle maison individuelle de caractère d'une superficie de 200m² avec un appartement indépendant de 3 pièces. Le terrain joliment arboré (olivier, oranger) présente plusieurs terrasses, piscine, abris de jardin, offrant une vie extérieure très agréable et parfaitement au calme. La maison se présente sur 3 niveaux. Le rez-de-chaussée comprend un grand double salon, salle à manger véranda très lumineuse avec une belle vue dégagée. Cuisine équipée, salle de douche à l'italienne avec wc, placard, cellier. À l'étage, 3 chambres avec vue mer dont une grande chambre parentale baignée de lumière. Un grande salle de bains avec fenêtre. Dressings. wc séparé. Au rez-de-jardin se situe un appartement indépendant comprenant salon - salle à manger, cuisine, 2 chambres, 2 salles de douche avec wc et espace nuit supplémentaire. 2 garages viennent compléter cette propriété. La toiture totalement refaite est toujours sous garantie décennale et la machinerie de la piscine a été remplacée récemment. Cette maison en position dominante et aux multiples atouts saura vous charmer. A voir ! Contact : Alexandrine LAURIOT DIT PREVOST - 06 17 01 47 70 - Plus d'informations sur www.prestant.com (réf. 640251584)
23;....Antibes breguieres...Vue jardin ..Studio meuble dans villa avec terrasse et parking privatif...., sejour acces wifi, cuisine equipe lave linge, douche et lavabo, wc independant, placard/penderie, eau collective, excl270619/7j, double vitrage. Disponible de suite au 30 juin, loyer mensuel 560 euros +provisions de charges locatives mensuelles 100 euros incluant l'eau froide et chaude les ordures menageres,edf en supplement,depot de garantie 660 euros ...Contactez bep logement antibes.......16 avenue robert soleau dans galerie selinonte (face à la caisse d'epargne)........Antibes centre demandez patricia ou marika ..... Au ( tel 04 93 34 97 97) locations entre particuliers de mandelieu cannes antibes a nice.....Frais locataires 190€ ttc ( étudiants 175€ ttc ). Réf. annonce : 4610001............Obtenir l'adresse......Être rappelé......Demander une visite......
24;Située dans un petit domaine sécurisée, cette villa offre une vue sur la mer, les îles de Lérins, l'Estérel et la ville de Mandelieu.D'une superficie d'environ 222 m2 reparti sur 2 niveaux, la villa se compose d'un large salon et une cuisine américaine, un coin bureau, 3 suites et bénéficie de hauts plafonds, de grandes baies-vitrées et de prestations de qualité. Toutes les pièces ont chacune leur propre terrasse.Une climatisation réversible, un double garage et une piscine chauffée avec nage à contre-courant complètent cet ensemble.
25;CENTRE VILLE - JUAN LES PINS - Votre agence BNB REAL ESTATE vous propose ce coquet studio BIS, en location vide,(mais partiellement meublé comme sur les photos), refait à neuf, au calme et lumineux, comprenant: une entrée, une pièce principale, une salle d'eau avec WC et une cuisine indépendante aménagée et équipée. Les plages de sable fin sont à 50m. Commerces et restaurants au pied de l'immeuble. La pinède est à 5 min à pied. Disponible immédiatement Loyer charges comprises: 650 euros (yc eau froide + chauffage) Dépôt de garantie: 600 euros Honoraire agence: 307,71 euros DPE: vierge Agence BNB REAL ESTATE tel.
26;F2 avec petite terrasse type petit loft (Espace semi-ouverte entre entrée, salon, chambre, kitchenette)...Salle d'eau avec wc. Rénovation faite en 2010 et ensuite en 2019 : Parquet en bois massif, pierres naturelles aux murs, salle d'eau avec wc, isolation des murs, électricité, plomberie...Prix Bas (COVID-19)..
27;Nice-Ouest Avenue Joseph Giordan / Ce superbe appartement 2 pièces d'environ 50m² vient tout juste d'être rénové et se situe au 1er étage d'un immeuble sécurisé avec gardien. Le bien se compose d'une entrée avec grands placards de rangement, d'un séjour exposé SUD avec terrasse, d'une chambre avec parquet donnant sur un balcon, d'une cuisine indépendante aménagée (meubles bas, meubles hauts, évier, hotte), d'une salle de bain et d'un WC indépendant. Un parking collectif (sans place privative) ainsi qu'une cave sont inclus dans la location ! Loyers 750euros + 100euros de charges (eau froide + eau chaude + chauffage au sol). Disponible immédiatement, à visiter sans tarder ! Pour tous renseignements complémentaires et visite merci de contacter le Service Transaction au ou par mail à :
28;LE GROUPE BERTI AND SONS VOUS PROPOSE A LOUER CE BEL APPARTEMENT MEUBLE 2 PIECES EN DERNIER ETAGE DANS LE DOMAINE GARDE ET SECURISE 24/H24 AVEC TENNIS, PISCINE, SALLE DE FITNESS.PARKING EXTERIEUR + CAVE. LIBRE DE SUITE VERITABLE COUP DE COEUR!..Barèmes d’honoraires : http://media8.ac3-distribution.com/segments/immo/catalog/images/manufacturers_bareme/227348.pdf
29;Magnifique 2 pièces en plein centre de cannes au pied de la rue d antibes proche Croisette..Au 1er étage d une résidence de standing avec gardien, nous vous proposons une location à l année où ponctuelle d un appartement meublé avec soin et matériaux de qualité ..Grand balcon avec aperçu mer ..Baignoire, Tv, climatisation, lave linge, Lit double et canapé lit ...
30;....Juan les pins centre trois pieces meublees de 70 m² avec balcon de 10 m2, dans immeuble recent....au 2 eme etage, entree, sejour tele, deux chambres, cuisine equipee avec lave linge, douche et lavabo, dressing, double vitrage, excl120518/7j. Disponible du 1er janvier au 30 juin, loyer mensuel charges comprises 1000 euros comprenant internet.L'edf en supplement.Depot de garantie 920 euros. Classe energie non communiquee.... .........Contactez bep logement antibes.......16 avenue robert soleau dans galerie selinonte (face au magasin pantashop et la caisse d'epargne)........Antibes centre ......Demandez patricia ou marika au ( tel 04-93-34-97-97) ....Locations entre particuliers de mandelieu cannes antibes a nice.....Frais locataires 190€ ttc ( étudiants 175 euros ttc ). Réf. annonce : 4609968............Obtenir l'adresse......Être rappelé......Demander une visite......
31;Description..Appartement T3 refait à neuf de 36m2 au 2eme étage avec ascenseur, parking en sous-sol attribué, avec bail meublé à l'année, dans une belle résidence sécurisée à Cannes la Bocca à 50 mètres de la plage. Belle terrasse de 14 m2 donnant sur trois piscines et un jacuzzi. Situation géographique excellente par rapport au nouveau Pôle Universitaire et cinéma de Cannes la Bocca qui se trouve à environ 15 mn à pied de la résidence.....L’appartement se compose :....- d'une cuisine comprenant plaques vitrocéramiques, réfrigérateur, lave-linge four-micro-ondes, cafetière et vaisselle complète....- d'un salon comprenant 2 banquettes canapé-lit (90x190)....- d'une salle de bain avec baignoire/lababo..- WC séparé..- d'une chambre comprenant 2 lits simples (90x190) superposés..- une belle chambre individuelle donnant sur la terrasse avec un lit double (140x190)..- une table de salle à manger et 6 chaises....- une télévision écran plat....- d'une agréable terrasse de 14 m2 avec vue sur la piscine comprenant une table et chaises d'extérieur pour 6 personnes, ainsi qu'un salon de jardin.....Climatisation réversible dans l'appartement.....A proximité :....- Plage : 50 mètres (accès direct derrière la résidence)..- Arrêt de bus (Place du marché - Lignes 1,2 et Palm Express A) : 50m // Centre-ville en 15 mins..- Gare de Cannes-La-Bocca : 400m..- Supermarchés : Casino, Intermarché..- Place du Marché de Cannes la Bocca..- Commodités diverses : restaurants, boucherie, boulangerie, pharmacie, banques…..- Gare centrale de Cannes : 3 km..- Croisette de Cannes : 4 km....Conditions:..- Loyer mensuel : 700€ de loyer HC + 90€ de provisions pour charges comprenant l'eau (froide et chaude), la climatisation, le chauffage, l'entretien de la climatisation réversible, l'entretien des parties communes, des piscines et espaces verts, ainsi que la taxe sur les ordures ménagères.....- Caution demandée de 2 mois de loyer hors charges, soit 1400 euros..- APL acceptées..- Garant demandé....Les draps et le linge de toilette ne sont pas fournis dans la location mais vous pourrez disposer des couettes et oreillers....Pour d'autres informations n'hésitez pas à me joindre par mail pour un premier contact...Precisez moi qui vous êtes et ce que vous recherchez !..Si vous souhaitez que je vous appelle, laissez moi vos coordonnées...Merci. Cordialement...Ludovic REVILLET
32;particulier loue un terrain securise avec bip pour portail automatique uniquement pour du stockage . ni bricolage , ni commerce , ni caravane ... situe pres du polygone riviera mais sur la commune de st paul de vence facile d acces en 3t5 mais pas en camion accessible tous les jours sauf les week end references demandees = k bis , banque , et bilan 2019 et pour part. 3 derniers releve bancaire et personne fiable se portant caution ... inutile de me contacter si vous n avez pas ces papiers
33;....Appartement 2 pièces...............Obtenir l'adresse......Être rappelé......Demander une visite......
34;....GARAGE - ST SYLVESTRE/HAUT CESSOLE GARAGE - ST SYLVESTRE/HAUT CESSOLE Garage se situant sur....l'Avenue Cauvin, de 15m² avec la possibilité de garer une voiture et une moto. Il mesure: L2,92mXH2,19mXP5,12m. L'ouverture de la porte mesure: 2,31m de large Les charges sont de 42.27euros par trimestre. 56 lots - Pas de procédure en cours à notre connaissance.............Obtenir l'adresse......Être rappelé......Demander une visite......
35;Villefranche sur Mer - Chemin du Vinaigrier - Luxueux appartement 5 pièces de 250m² avec vue panoramique de la rade de Villefranche-sur-Mer au cap d'Antibes.....Situé au sein d'une charmante petite copropriété, magnifique appartement 5 pièces de 250m² ouvert sur un extérieur de 120m² de terrasse et son jardin arboré privatif de 50m². Accès privé à un parc collectif de 3000m² et sa piscine. Il se compose d'un séjour de 90m², d'une chambre de maître de 50m² avec sa salle de bains balnéo + douche, trois chambres avec salles d'eau et wc et une cuisine équipée ouverte sur l'extérieur. Vue parfaitement dégagée et panoramique depuis la rade de Villefranche jusqu'au Cap d'Antibes. ....Possibilité 6 garages et 2 caves à négocier. Résidence sécurisée avec gardien. Pour davantage d'intimité, possibilité d'accéder à la propriété par deux accès différents.....Idéalement placé à proximité de toutes les commodités à pied.....Aucune procédure en cours, les grilles du parc ont été changées en 2019.........Plus de photos sur notre site internet !....Visite virtuelle sur demande !........Prix : 2 990 000€ HAI (Honoraires à la charge du vendeur)........Contacter Charline 06-50-53-30-81 / charline.fouilleron1@gmail.com
36;T2 rez-de-jardin loué: T2 47m2 + 30m2 terrasse-jardin.... Dans une résidence de services / sénior au Cannet Grande Bretagne.....Résidence gardiennée 24h/24 avec réception, grand parc fleuri avec fontaine, restaurant, room service, salle de jeux, vidéo surveillance.........Composé d'une entrée, un grand séjour, une cuisine séparée, une grande chambre, une salle de douche-wc, une belle terrasse - jardin de près de 30m2.....Climatisation dans le séjour et la chambre, volets roulants électriques, store électriques, double vitrages, exposition sud-ouest.........Le bien est vendu loué: le vendeur sera le locataire après la vente ( loyer de 1500 € / mois charges comprises )........Charges de copropriété mensuelles: 900 €....Taxe Foncière : 878 € plus 298 € de TEOM........Idéal investisseur!
37;....Appartement 2 pièces dans Maison Au dernier étage d'une maison de village....rénovée. Appartement 2 pièces mansardé et traversant de 38 m² au sol composé de: hall placard, séjour cheminée, cuisine américaine, mezzanine servant de couchage, salle de bains WC. Au calme, très lumineux. Proche du parking public et de tous commerces. ­ Honoraires à la charge du vendeur.............Obtenir l'adresse......Être rappelé......Demander une visite......
38;CAGNES SUR MER - Hippodrome - Dernier étage vue mer panoramique ! Magnifique 2 pièces de 45m² avec terrasse + solarium de 55m² + cave !....L'appartement se compose d'une entrée + un salon ouvert sur une terrasse de 10m² avec vue mer panoramique + une cuisine aménagée et équipée avec îlot central également ouverte sur la terrasse exposée plein Sud + une salle de douche + un wc indépendant. L'appartement bénéficie d'un magnifique solarium de 55m² sur le toit et d'une cave. En dernier étage, la vue est parfaitement dégagée et offre une vue imprenable sur l'hippodrome et la mer. Très lumineux, exposé plein sud ! ....À 5 minutes du bord de mer et ses plages. Proche de toutes les commodités.....Stationnements aisés et gratuits devant la résidence.....Taxe foncière : 600€ / an........Prix : 300 000 € H.A.I (Honoraires Agence Inclus à la charge du vendeur)........Contactez Charline 06-50-53-30-81 / charline.fouilleron1@gmail.com
